Sample in Buffer,Sample in Window,TRIGGER,design_1_i/rf_ss/rf_data_system_ila/inst/probe0_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe1_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe2_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe3_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe4_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe5_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe6_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe7_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe8_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe9_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe10_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe11_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe12_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe13_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe14_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe15_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
904,904,0,1340,868,-2660,3356,-2996,1328,840,-2532,-819,966,-743,237,360,-819,966,-743
905,905,0,3328,-3012,1300,828,-2672,3352,-2956,1308,-744,238,359,-819,966,-744,238,359
906,906,0,776,-2596,3404,-2980,1316,764,-2660,3396,359,-819,966,-744,238,359,-819,966
907,907,0,-2952,1360,760,-2580,3400,-2976,1388,712,966,-744,238,359,-819,966,-744,238
908,908,0,-2636,3388,-2964,1260,868,-2656,3404,-3020,239,358,-818,966,-744,238,358,-818
909,909,0,1316,836,-2588,3372,-2980,1344,740,-2628,-818,967,-744,239,358,-818,967,-744
910,910,0,3372,-2952,1324,812,-2556,3420,-2924,1352,-744,239,358,-818,966,-745,239,358
911,911,0,852,-2572,3420,-2972,1292,896,-2644,3364,357,-819,966,-745,239,358,-818,965
912,912,0,-3000,1336,836,-2556,3368,-3004,1380,752,967,-746,240,358,-819,967,-746,239
913,913,0,-2628,3404,-2980,1364,756,-2564,3332,-2988,240,358,-819,968,-747,240,358,-819
914,914,0,1308,836,-2668,3388,-2972,1364,756,-2628,-818,968,-747,241,358,-819,969,-747
915,915,0,3344,-2960,1376,732,-2532,3404,-2964,1276,-747,241,357,-819,968,-747,241,357
916,916,0,828,-2636,3380,-2932,1268,756,-2644,3364,357,-819,968,-747,241,357,-819,968
917,917,0,-2984,1300,784,-2652,3400,-2960,1340,776,968,-747,241,357,-819,968,-747,241
918,918,0,-2600,3388,-2940,1340,836,-2648,3412,-2988,242,356,-819,968,-748,242,357,-819
919,919,0,1360,868,-2580,3332,-3012,1348,880,-2564,-817,968,-748,243,355,-818,968,-748
920,920,0,3380,-2920,1384,828,-2648,3388,-2932,1368,-749,244,354,-817,968,-749,244,354
921,921,0,784,-2540,3380,-2956,1284,880,-2580,3420,354,-817,968,-750,244,354,-817,968
922,922,0,-2984,1332,768,-2572,3352,-2988,1356,752,968,-750,245,354,-817,968,-750,245
923,923,0,-2636,3388,-2948,1284,764,-2596,3412,-2964,245,353,-817,968,-750,245,353,-817
924,924,0,1376,764,-2636,3372,-2928,1404,840,-2572,-817,968,-750,245,353,-817,968,-750
925,925,0,3412,-2952,1400,876,-2680,3364,-2980,1300,-750,246,353,-816,968,-750,246,353
926,926,0,776,-2564,3372,-2956,1300,732,-2652,3332,352,-816,968,-750,246,353,-816,968
927,927,0,-2964,1288,792,-2580,3460,-2980,1328,768,968,-751,246,352,-816,968,-751,246
928,928,0,-2592,3388,-2972,1300,724,-2656,3420,-2956,246,352,-816,968,-751,246,352,-816
929,929,0,1376,812,-2652,3332,-2948,1388,848,-2668,-817,969,-750,246,353,-816,968,-750
930,930,0,3412,-2972,1284,876,-2572,3412,-2964,1260,-751,246,354,-818,969,-750,245,353
931,931,0,808,-2624,3412,-2948,1252,764,-2644,3424,354,-819,970,-751,246,354,-818,969
932,932,0,-2968,1300,868,-2620,3352,-2960,1316,860,969,-752,246,354,-818,970,-752,246
933,933,0,-2652,3412,-2996,1252,892,-2596,3444,-2940,246,353,-818,970,-752,246,353,-817
934,934,0,1284,892,-2580,3332,-2916,1304,880,-2644,-818,970,-752,247,353,-818,970,-752
935,935,0,3368,-3004,1352,860,-2572,3420,-2940,1352,-752,247,353,-818,970,-752,247,353
936,936,0,832,-2596,3396,-2964,1276,872,-2636,3380,352,-817,970,-752,247,352,-817,970
937,937,0,-2944,1284,784,-2668,3376,-2940,1340,840,970,-753,248,352,-817,970,-752,247
938,938,0,-2668,3444,-2940,1268,780,-2588,3436,-2932,246,353,-818,970,-752,247,353,-817
