Sample in Buffer,Sample in Window,TRIGGER,design_1_i/rf_ss/rf_data_system_ila/inst/probe0_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe1_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe2_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe3_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe4_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe5_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe6_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe7_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe8_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe9_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe10_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe11_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe12_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe13_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe14_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe15_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
259,259,0,1852,240,-2124,3364,-3212,1844,220,-2236,-900,944,-628,72,512,-900,944,-628
260,260,0,3308,-3244,1868,268,-2176,3332,-3212,1860,-629,72,511,-900,944,-628,72,511
261,261,0,160,-2188,3316,-3268,1836,252,-2112,3300,509,-899,945,-630,74,510,-899,944
262,262,0,-3252,1900,260,-2068,3272,-3244,1864,268,945,-631,75,509,-899,945,-631,75
263,263,0,-2120,3316,-3244,1916,260,-2164,3292,-3212,75,509,-899,945,-631,75,509,-899
264,264,0,1836,296,-2204,3252,-3188,1908,236,-2100,-899,946,-631,76,509,-899,945,-630
265,265,0,3240,-3188,1892,252,-2108,3292,-3188,1920,-632,76,509,-899,946,-632,76,509
266,266,0,220,-2124,3244,-3276,1844,236,-2196,3300,509,-901,947,-633,76,509,-900,946
267,267,0,-3208,1852,244,-2188,3232,-3212,1848,276,947,-633,76,509,-900,947,-633,76
268,268,0,-2188,3292,-3220,1860,252,-2196,3332,-3260,77,509,-900,948,-633,77,509,-899
269,269,0,1868,264,-2212,3324,-3192,1924,252,-2204,-900,948,-633,77,509,-900,948,-633
270,270,0,3324,-3244,1844,172,-2200,3300,-3212,1904,-635,79,508,-900,948,-634,78,508
271,271,0,168,-2132,3324,-3220,1920,156,-2204,3308,506,-899,948,-635,80,507,-899,948
272,272,0,-3212,1828,244,-2116,3276,-3188,1884,140,949,-636,80,506,-899,948,-636,80
273,273,0,-2152,3348,-3220,1788,172,-2188,3292,-3236,80,506,-899,949,-636,80,506,-899
274,274,0,1812,256,-2236,3236,-3264,1884,244,-2220,-899,949,-636,81,506,-899,949,-636
275,275,0,3252,-3244,1812,180,-2108,3264,-3196,1788,-636,81,505,-899,949,-636,81,506
276,276,0,260,-2196,3292,-3308,1912,132,-2204,3268,505,-900,949,-637,81,505,-900,949
277,277,0,-3232,1836,276,-2204,3308,-3216,1848,332,948,-637,81,505,-899,949,-637,81
278,278,0,-2236,3268,-3244,1916,284,-2124,3284,-3204,82,505,-898,949,-637,82,505,-897
279,279,0,1844,240,-2116,3276,-3220,1860,164,-2180,-899,951,-638,82,505,-899,950,-637
280,280,0,3316,-3228,1844,180,-2200,3272,-3220,1804,-639,82,505,-900,951,-638,82,505
281,281,0,268,-2228,3348,-3228,1896,156,-2188,3292,504,-900,951,-639,82,505,-901,951
282,282,0,-3208,1812,200,-2244,3296,-3188,1852,156,951,-639,83,505,-900,951,-639,83
283,283,0,-2180,3260,-3188,1844,172,-2204,3252,-3212,83,505,-900,951,-639,83,505,-900
284,284,0,1896,196,-2236,3372,-3228,1868,140,-2124,-900,951,-639,83,504,-900,951,-639
285,285,0,3280,-3228,1900,172,-2232,3280,-3188,1796,-640,84,504,-900,951,-640,84,504
286,286,0,192,-2244,3316,-3260,1912,156,-2180,3212,505,-900,951,-639,83,505,-899,951
287,287,0,-3200,1860,192,-2220,3280,-3232,1864,164,951,-639,82,505,-900,951,-638,82
288,288,0,-2212,3244,-3236,1860,292,-2140,3260,-3228,83,505,-900,951,-639,83,506,-900
289,289,0,1880,164,-2132,3276,-3232,1884,156,-2100,-898,950,-638,83,504,-899,951,-638
290,290,0,3324,-3228,1796,252,-2240,3340,-3196,1928,-638,83,503,-898,949,-638,83,503
291,291,0,200,-2164,3308,-3204,1780,164,-2204,3316,503,-897,949,-638,84,503,-898,948
292,292,0,-3216,1876,276,-2220,3316,-3236,1816,268,949,-639,84,503,-897,949,-639,84
293,293,0,-2236,3316,-3236,1812,148,-2220,3356,-3236,82,503,-898,949,-638,83,503,-897
294,294,0,1848,296,-2204,3252,-3220,1860,268,-2196,-898,949,-637,82,504,-898,949,-637
295,295,0,3292,-3196,1812,268,-2148,3312,-3212,1812,-638,83,504,-898,949,-637,83,504
296,296,0,276,-2156,3300,-3220,1904,212,-2220,3348,503,-897,949,-638,83,503,-897,949
297,297,0,-3248,1764,208,-2252,3292,-3244,1840,156,949,-639,83,503,-897,949,-638,83
298,298,0,-2212,3332,-3228,1868,308,-2236,3324,-3236,84,503,-897,949,-638,84,504,-897
299,299,0,1816,288,-2196,3236,-3212,1820,172,-2228,-896,948,-637,83,503,-896,949,-638
300,300,0,3240,-3220,1860,268,-2148,3240,-3236,1880,-635,82,503,-896,946,-636,82,503
301,301,0,236,-2172,3284,-3260,1880,156,-2228,3356,502,-895,947,-636,83,502,-896,946
302,302,0,-3208,1796,216,-2148,3276,-3208,1800,212,947,-637,83,502,-895,947,-637,83
303,303,0,-2168,3300,-3236,1828,316,-2236,3260,-3268,83,502,-895,947,-637,83,503,-895
304,304,0,1804,304,-2164,3292,-3228,1844,292,-2116,-894,946,-635,83,502,-895,946,-636
305,305,0,3260,-3184,1876,180,-2232,3264,-3244,1880,-634,82,502,-894,944,-634,82,502
306,306,0,200,-2252,3268,-3228,1764,316,-2160,3268,501,-894,944,-634,82,502,-894,943
307,307,0,-3260,1860,152,-2140,3324,-3216,1776,172,944,-635,82,501,-893,944,-635,82
308,308,0,-2176,3316,-3188,1788,308,-2268,3260,-3236,83,501,-893,944,-635,83,502,-893
309,309,0,1804,156,-2244,3308,-3188,1796,308,-2172,-891,944,-635,83,500,-892,945,-634
310,310,0,3264,-3220,1836,276,-2272,3232,-3204,1888,-632,82,500,-891,942,-633,83,499
311,311,0,216,-2260,3292,-3252,1832,276,-2236,3300,500,-892,942,-633,82,501,-892,941
312,312,0,-3228,1804,292,-2132,3240,-3260,1816,276,942,-634,82,500,-892,942,-633,82
313,313,0,-2244,3300,-3252,1820,188,-2164,3324,-3228,82,500,-891,942,-633,82,501,-891
314,314,0,1832,212,-2236,3236,-3216,1820,172,-2140,-889,941,-633,83,499,-890,942,-633
315,315,0,3248,-3204,1860,204,-2156,3256,-3220,1848,-632,83,498,-889,941,-632,83,498
316,316,0,284,-2204,3260,-3212,1772,292,-2152,3236,498,-889,941,-633,83,498,-889,940
317,317,0,-3208,1860,300,-2180,3248,-3184,1760,172,941,-634,84,498,-889,941,-633,83
318,318,0,-2212,3292,-3188,1836,276,-2156,3284,-3260,84,498,-889,941,-633,84,498,-889
319,319,0,1816,212,-2260,3348,-3208,1796,308,-2132,-889,941,-633,84,497,-889,941,-633
320,320,0,3280,-3196,1876,204,-2164,3332,-3204,1804,-633,84,497,-889,941,-634,84,497
321,321,0,232,-2244,3260,-3204,1764,188,-2236,3316,497,-890,941,-634,85,497,-889,940
322,322,0,-3236,1828,284,-2236,3240,-3224,1816,204,940,-634,85,497,-888,941,-635,85
323,323,0,-2212,3308,-3260,1804,164,-2156,3292,-3220,85,496,-887,940,-634,85,496,-887
324,324,0,1792,296,-2164,3252,-3192,1844,204,-2148,-885,939,-633,86,495,-886,940,-633
325,325,0,3244,-3204,1820,292,-2164,3340,-3172,1780,-635,88,494,-886,940,-634,87,494
326,326,0,248,-2180,3340,-3260,1864,300,-2184,3236,493,-886,940,-635,88,493,-887,940
327,327,0,-3240,1844,308,-2292,3276,-3220,1816,244,939,-636,89,493,-885,940,-636,88
328,328,0,-2252,3284,-3252,1836,204,-2292,3324,-3228,89,493,-885,940,-636,89,492,-884
329,329,0,1804,204,-2164,3316,-3180,1820,316,-2180,-886,942,-637,89,493,-886,941,-636
330,330,0,3292,-3236,1836,244,-2148,3340,-3228,1856,-638,89,493,-887,942,-637,89,492
331,331,0,240,-2260,3284,-3196,1848,220,-2252,3260,490,-887,943,-639,91,492,-888,942
332,332,0,-3200,1780,208,-2268,3264,-3232,1860,340,943,-640,92,491,-886,943,-639,92
333,333,0,-2192,3308,-3228,1852,188,-2196,3268,-3204,92,491,-886,943,-640,92,491,-886
334,334,0,1796,252,-2260,3324,-3208,1804,332,-2220,-886,943,-640,93,490,-886,943,-640
335,335,0,3296,-3212,1796,340,-2272,3300,-3228,1804,-640,93,490,-886,943,-640,93,490
336,336,0,316,-2268,3380,-3188,1840,252,-2136,3316,488,-885,944,-641,94,489,-885,943
337,337,0,-3232,1764,324,-2284,3296,-3220,1776,260,944,-643,95,488,-885,944,-642,95
338,338,0,-2192,3348,-3204,1828,332,-2196,3356,-3236,96,489,-886,945,-643,96,488,-885
339,339,0,1788,252,-2156,3300,-3176,1828,308,-2228,-887,947,-644,96,489,-887,946,-643
340,340,0,3308,-3196,1756,356,-2164,3256,-3180,1832,-644,96,488,-887,946,-644,96,489
341,341,0,340,-2196,3340,-3212,1832,356,-2168,3356,487,-886,946,-644,97,488,-886,946
342,342,0,-3184,1796,208,-2164,3280,-3220,1776,236,947,-646,98,487,-886,946,-645,97
343,343,0,-2284,3332,-3188,1804,236,-2180,3268,-3212,99,487,-886,948,-647,99,487,-886
344,344,0,1788,320,-2268,3356,-3188,1812,244,-2268,-887,950,-648,99,487,-887,949,-647
345,345,0,3332,-3204,1796,316,-2148,3348,-3172,1840,-648,100,487,-887,949,-648,100,487
346,346,0,232,-2244,3332,-3172,1780,188,-2228,3340,486,-887,949,-648,100,487,-887,949
347,347,0,-3184,1812,248,-2252,3264,-3200,1892,196,950,-651,101,485,-887,949,-649,100
348,348,0,-2168,3316,-3204,1804,380,-2172,3292,-3252,103,485,-887,951,-651,103,485,-886
349,349,0,1820,244,-2236,3292,-3200,1828,324,-2196,-888,953,-652,103,485,-888,952,-651
350,350,0,3340,-3212,1788,252,-2204,3304,-3188,1796,-652,103,485,-888,952,-652,103,485
351,351,0,232,-2220,3372,-3148,1756,236,-2192,3332,484,-888,952,-652,103,485,-888,952
352,352,0,-3188,1780,340,-2180,3296,-3244,1744,236,952,-653,104,485,-888,952,-652,104
353,353,0,-2276,3348,-3236,1756,260,-2276,3284,-3204,104,485,-889,953,-653,104,485,-888
354,354,0,1772,252,-2228,3276,-3204,1756,340,-2268,-889,955,-654,104,485,-889,954,-653
355,355,0,3332,-3212,1828,236,-2212,3240,-3172,1804,-654,105,485,-889,954,-654,105,485
356,356,0,300,-2260,3324,-3212,1800,348,-2224,3348,485,-889,954,-654,105,485,-889,953
357,357,0,-3184,1780,264,-2196,3272,-3192,1844,332,954,-655,105,484,-889,954,-655,105
358,358,0,-2276,3308,-3204,1804,348,-2180,3300,-3180,106,484,-889,954,-655,105,485,-889
359,359,0,1788,356,-2132,3332,-3160,1796,244,-2228,-889,955,-655,106,484,-889,954,-654
360,360,0,3348,-3192,1808,252,-2272,3356,-3164,1832,-656,106,484,-890,955,-656,106,484
361,361,0,272,-2284,3348,-3188,1764,228,-2228,3260,484,-891,956,-657,106,485,-890,955
362,362,0,-3220,1788,192,-2164,3324,-3144,1836,364,955,-657,107,484,-890,956,-657,107
363,363,0,-2152,3308,-3172,1804,348,-2204,3308,-3212,107,484,-890,956,-657,107,484,-889
364,364,0,1780,276,-2252,3292,-3220,1772,332,-2228,-890,956,-657,107,484,-890,956,-657
365,365,0,3296,-3196,1756,332,-2196,3340,-3172,1832,-658,108,483,-890,956,-658,107,484
366,366,0,288,-2196,3292,-3212,1808,348,-2236,3348,483,-890,956,-658,108,483,-890,956
367,367,0,-3212,1780,348,-2172,3280,-3192,1776,364,957,-658,108,483,-890,957,-658,108
368,368,0,-2244,3300,-3212,1812,228,-2292,3332,-3228,109,483,-890,957,-658,108,483,-890
369,369,0,1764,336,-2284,3292,-3172,1772,244,-2188,-888,957,-659,109,482,-889,957,-658
370,370,0,3364,-3204,1792,348,-2312,3308,-3212,1748,-659,109,482,-889,957,-659,109,482
371,371,0,316,-2308,3308,-3204,1792,348,-2208,3292,481,-889,957,-659,109,482,-890,957
372,372,0,-3208,1804,316,-2196,3264,-3224,1796,276,955,-659,110,481,-888,956,-659,110
373,373,0,-2292,3292,-3220,1684,332,-2276,3252,-3188,110,480,-887,955,-658,110,481,-887
374,374,0,1800,276,-2164,3284,-3200,1804,236,-2324,-887,955,-658,109,481,-887,955,-658
375,375,0,3272,-3168,1800,372,-2180,3280,-3188,1756,-657,109,481,-887,954,-657,108,481
376,376,0,272,-2220,3348,-3212,1740,356,-2268,3372,481,-887,955,-657,109,481,-887,955
377,377,0,-3268,1780,256,-2148,3332,-3180,1736,276,955,-658,109,481,-887,955,-657,109
378,378,0,-2284,3300,-3188,1788,364,-2172,3228,-3204,110,480,-887,955,-658,109,481,-887
379,379,0,1776,312,-2172,3284,-3184,1724,252,-2204,-887,956,-658,110,480,-887,955,-657
380,380,0,3332,-3204,1716,388,-2280,3348,-3180,1756,-658,110,480,-887,955,-658,110,480
381,381,0,308,-2204,3308,-3212,1740,260,-2208,3356,478,-886,954,-658,110,479,-887,954
382,382,0,-3200,1740,364,-2284,3288,-3228,1736,204,951,-657,110,479,-885,953,-658,111
383,383,0,-2232,3284,-3196,1772,268,-2324,3324,-3220,109,480,-885,952,-656,109,480,-884
384,384,0,1792,252,-2196,3244,-3224,1716,204,-2308,-884,953,-656,109,479,-885,953,-656
385,385,0,3248,-3192,1844,284,-2312,3272,-3188,1800,-656,110,479,-885,953,-656,109,479
386,386,0,324,-2236,3292,-3172,1732,252,-2192,3276,478,-885,953,-657,110,479,-886,953
387,387,0,-3204,1776,348,-2236,3332,-3172,1780,268,951,-656,110,478,-884,952,-657,110
388,388,0,-2292,3300,-3196,1804,372,-2228,3308,-3180,111,477,-883,951,-656,110,478,-883
389,389,0,1776,252,-2220,3316,-3192,1716,356,-2212,-882,952,-656,111,477,-882,951,-655
390,390,0,3332,-3180,1748,300,-2220,3364,-3204,1732,-656,111,477,-882,951,-656,111,477
391,391,0,248,-2228,3380,-3212,1792,260,-2192,3340,476,-882,951,-657,111,477,-882,951
392,392,0,-3188,1732,364,-2292,3364,-3192,1688,388,951,-657,112,476,-882,951,-657,111
393,393,0,-2232,3340,-3220,1740,388,-2204,3372,-3188,110,477,-882,951,-656,111,477,-882
394,394,0,1708,244,-2244,3252,-3192,1756,356,-2284,-881,950,-655,110,477,-882,951,-655
395,395,0,3348,-3204,1708,292,-2204,3300,-3188,1800,-654,111,476,-880,949,-655,110,476
396,396,0,356,-2324,3340,-3164,1784,236,-2276,3308,475,-880,949,-655,111,476,-880,948
397,397,0,-3180,1756,364,-2316,3280,-3184,1752,396,949,-656,111,475,-880,949,-656,111
398,398,0,-2216,3284,-3156,1700,364,-2276,3300,-3188,111,475,-880,949,-655,111,475,-880
399,399,0,1756,308,-2188,3260,-3168,1740,276,-2324,-880,949,-656,112,475,-880,949,-655
400,400,0,3324,-3176,1692,300,-2212,3380,-3180,1792,-656,112,475,-880,949,-656,112,475
401,401,0,348,-2292,3284,-3196,1848,276,-2284,3308,474,-880,949,-656,112,474,-880,949
402,402,0,-3196,1780,372,-2292,3304,-3152,1720,276,949,-656,113,474,-880,949,-656,112
403,403,0,-2240,3332,-3164,1756,396,-2212,3284,-3180,113,474,-879,949,-656,113,474,-880
404,404,0,1732,372,-2188,3348,-3168,1700,292,-2292,-879,949,-657,113,474,-879,949,-656
405,405,0,3388,-3128,1716,292,-2288,3348,-3180,1732,-657,114,473,-879,949,-657,113,473
406,406,0,364,-2292,3292,-3180,1768,276,-2308,3260,473,-879,949,-657,114,473,-879,949
407,407,0,-3172,1780,364,-2324,3364,-3172,1712,372,949,-657,114,473,-879,949,-657,114
408,408,0,-2264,3292,-3172,1716,380,-2300,3268,-3148,114,472,-879,949,-657,114,473,-879
409,409,0,1776,308,-2196,3268,-3184,1772,260,-2228,-879,950,-658,115,472,-879,950,-658
410,410,0,3280,-3172,1708,380,-2212,3324,-3196,1700,-658,115,472,-879,950,-658,115,472
411,411,0,296,-2292,3324,-3220,1692,380,-2340,3348,472,-878,950,-658,115,472,-879,950
412,412,0,-3216,1724,372,-2236,3256,-3180,1748,388,950,-658,116,471,-878,950,-658,115
413,413,0,-2292,3332,-3172,1708,284,-2284,3308,-3220,116,471,-878,950,-659,116,471,-878
414,414,0,1676,388,-2316,3300,-3156,1780,316,-2292,-878,951,-659,116,471,-878,951,-659
415,415,0,3340,-3184,1784,292,-2296,3288,-3228,1784,-658,116,471,-878,950,-659,116,471
416,416,0,348,-2308,3316,-3172,1792,284,-2308,3268,470,-879,950,-659,117,470,-878,949
417,417,0,-3212,1776,380,-2204,3304,-3196,1724,292,951,-661,117,471,-879,951,-660,117
418,418,0,-2288,3316,-3204,1676,292,-2268,3228,-3220,115,472,-880,952,-660,116,471,-879
419,419,0,1776,308,-2340,3276,-3188,1708,300,-2244,-879,951,-659,116,472,-880,952,-659
420,420,0,3312,-3196,1768,308,-2228,3356,-3212,1752,-660,116,472,-880,951,-660,116,472
421,421,0,348,-2236,3300,-3172,1700,292,-2292,3300,472,-880,952,-660,116,472,-880,952
422,422,0,-3208,1716,388,-2252,3280,-3184,1764,292,952,-660,117,472,-880,952,-660,116
423,423,0,-2308,3348,-3180,1700,412,-2228,3284,-3212,117,471,-879,952,-660,117,471,-880
424,424,0,1776,420,-2308,3364,-3168,1700,388,-2340,-879,952,-661,117,471,-879,952,-660
425,425,0,3280,-3228,1700,308,-2212,3296,-3180,1792,-661,117,471,-879,952,-661,117,471
426,426,0,296,-2212,3252,-3196,1700,308,-2324,3332,470,-879,952,-661,118,471,-879,952
427,427,0,-3164,1700,364,-2364,3324,-3168,1712,404,952,-662,118,470,-879,952,-661,118
428,428,0,-2324,3332,-3204,1716,340,-2244,3292,-3204,118,471,-880,953,-662,118,471,-879
429,429,0,1784,380,-2204,3308,-3164,1708,348,-2324,-881,955,-663,119,471,-881,954,-662
430,430,0,3372,-3172,1700,372,-2220,3304,-3140,1792,-661,118,471,-881,954,-662,119,471
431,431,0,356,-2324,3364,-3156,1784,316,-2260,3380,472,-881,953,-662,117,472,-881,952
432,432,0,-3164,1724,396,-2244,3264,-3180,1704,324,954,-662,118,472,-881,953,-662,117
433,433,0,-2224,3268,-3196,1692,380,-2260,3316,-3156,118,471,-881,954,-662,118,472,-881
434,434,0,1728,396,-2244,3292,-3160,1812,340,-2212,-881,954,-662,118,471,-881,954,-662
435,435,0,3288,-3164,1784,292,-2336,3332,-3180,1692,-663,118,471,-881,954,-662,118,471
436,436,0,404,-2268,3364,-3156,1708,332,-2340,3364,472,-881,953,-662,118,472,-880,954
437,437,0,-3204,1736,396,-2244,3372,-3196,1764,316,953,-661,117,472,-881,953,-661,117
438,438,0,-2300,3316,-3156,1636,380,-2332,3292,-3180,117,472,-881,953,-662,117,472,-881
439,439,0,1720,396,-2348,3324,-3136,1668,396,-2228,-881,953,-662,118,472,-881,953,-662
440,440,0,3348,-3152,1708,468,-2320,3264,-3156,1700,-662,118,471,-881,953,-662,118,472
441,441,0,360,-2244,3364,-3180,1752,388,-2232,3300,473,-881,953,-661,117,472,-881,953
442,442,0,-3204,1700,404,-2332,3340,-3176,1696,316,953,-661,116,472,-881,953,-661,116
443,443,0,-2280,3324,-3164,1716,284,-2268,3316,-3188,117,472,-881,953,-661,117,472,-881
444,444,0,1744,404,-2252,3372,-3144,1684,396,-2324,-881,953,-661,117,472,-881,953,-661
445,445,0,3280,-3188,1708,404,-2352,3296,-3156,1760,-662,117,472,-881,953,-661,117,472
446,446,0,372,-2340,3372,-3220,1668,420,-2292,3324,471,-880,953,-662,118,472,-880,953
447,447,0,-3176,1708,412,-2260,3296,-3168,1740,324,953,-661,117,472,-881,953,-662,118
448,448,0,-2224,3292,-3188,1732,316,-2260,3316,-3172,116,473,-881,953,-661,116,473,-881
449,449,0,1704,420,-2340,3332,-3184,1772,412,-2236,-880,953,-661,116,472,-881,953,-661
450,450,0,3332,-3176,1684,380,-2360,3356,-3172,1768,-661,117,472,-881,953,-661,117,472
451,451,0,336,-2316,3316,-3188,1776,340,-2224,3340,471,-880,953,-661,117,472,-881,953
452,452,0,-3132,1752,336,-2228,3264,-3144,1756,324,951,-661,117,471,-879,952,-661,117
453,453,0,-2348,3332,-3180,1684,340,-2276,3356,-3188,118,470,-878,951,-660,118,471,-878
454,454,0,1732,332,-2324,3388,-3164,1660,364,-2372,-878,951,-661,118,470,-878,951,-660
455,455,0,3280,-3164,1776,364,-2368,3320,-3180,1776,-661,118,470,-878,951,-661,118,470
456,456,0,320,-2244,3364,-3188,1752,420,-2260,3308,469,-878,951,-661,118,469,-878,951
457,457,0,-3152,1676,328,-2364,3356,-3168,1716,436,951,-661,119,469,-878,951,-661,119
458,458,0,-2340,3316,-3156,1756,404,-2348,3316,-3204,119,469,-878,951,-662,119,469,-878
459,459,0,1652,420,-2348,3292,-3128,1692,340,-2348,-878,951,-661,118,469,-878,951,-662
460,460,0,3312,-3172,1652,324,-2244,3340,-3196,1676,-660,118,470,-878,951,-660,118,470
461,461,0,412,-2324,3372,-3156,1696,292,-2372,3332,470,-878,951,-661,118,470,-878,951
462,462,0,-3212,1696,428,-2356,3304,-3156,1724,396,951,-661,118,469,-878,951,-661,118
463,463,0,-2272,3316,-3196,1676,340,-2372,3364,-3204,119,469,-878,951,-661,119,469,-878
464,464,0,1684,340,-2300,3292,-3160,1724,388,-2276,-878,951,-661,119,469,-878,951,-661
465,465,0,3304,-3172,1744,364,-2268,3288,-3164,1692,-663,121,468,-877,951,-662,120,469
466,466,0,352,-2308,3324,-3156,1676,324,-2332,3356,467,-877,952,-663,121,467,-877,952
467,467,0,-3136,1676,368,-2260,3308,-3152,1672,340,952,-664,122,466,-877,952,-663,122
468,468,0,-2364,3356,-3164,1684,348,-2292,3332,-3156,122,466,-876,952,-664,122,466,-876
469,469,0,1728,332,-2332,3348,-3128,1668,340,-2356,-876,952,-664,122,466,-876,952,-664
470,470,0,3304,-3172,1712,372,-2260,3356,-3140,1752,-664,123,466,-876,952,-664,123,466
471,471,0,328,-2300,3348,-3164,1768,348,-2356,3292,465,-876,952,-664,123,466,-876,952
472,472,0,-3144,1668,436,-2260,3264,-3180,1664,468,952,-665,123,465,-876,952,-665,123
473,473,0,-2288,3324,-3132,1724,420,-2284,3308,-3156,124,465,-876,952,-665,123,465,-876
474,474,0,1704,372,-2244,3300,-3164,1676,348,-2260,-876,952,-665,124,465,-876,952,-665
475,475,0,3336,-3176,1660,332,-2360,3316,-3164,1668,-665,124,464,-876,952,-665,124,465
476,476,0,344,-2316,3340,-3140,1692,348,-2244,3356,464,-875,952,-665,124,464,-875,952
477,477,0,-3180,1644,360,-2340,3328,-3148,1700,380,952,-666,125,464,-875,952,-666,125
478,478,0,-2324,3356,-3140,1684,468,-2252,3340,-3180,125,464,-875,952,-666,125,464,-875
479,479,0,1700,420,-2252,3348,-3164,1660,364,-2276,-874,953,-667,126,463,-875,953,-666
480,480,0,3336,-3148,1760,356,-2384,3356,-3140,1768,-668,128,461,-874,953,-668,127,462
481,481,0,392,-2324,3348,-3156,1680,444,-2276,3356,461,-874,953,-668,128,461,-874,953
482,482,0,-3196,1660,468,-2276,3296,-3152,1716,476,953,-668,128,461,-874,953,-668,128
483,483,0,-2296,3324,-3148,1732,388,-2348,3372,-3196,129,461,-874,953,-669,128,461,-874
484,484,0,1692,364,-2404,3308,-3180,1716,348,-2228,-874,953,-669,129,460,-874,953,-669
485,485,0,3336,-3188,1644,372,-2308,3364,-3148,1736,-669,129,460,-874,953,-669,129,460
486,486,0,444,-2380,3292,-3204,1644,452,-2356,3332,460,-873,953,-669,129,460,-874,953
487,487,0,-3184,1676,344,-2380,3288,-3176,1664,364,953,-669,130,460,-873,953,-669,130
488,488,0,-2332,3316,-3148,1684,460,-2340,3388,-3164,130,459,-873,954,-670,130,459,-873
489,489,0,1668,436,-2364,3356,-3124,1692,452,-2260,-872,954,-671,131,458,-873,954,-670
490,490,0,3372,-3180,1636,332,-2384,3364,-3164,1752,-672,133,457,-872,954,-672,132,457
491,491,0,376,-2284,3340,-3156,1636,428,-2356,3404,457,-872,954,-672,133,457,-872,954
492,492,0,-3164,1696,476,-2292,3364,-3136,1684,436,954,-672,133,457,-872,954,-672,133
493,493,0,-2340,3324,-3156,1700,380,-2268,3308,-3172,134,456,-872,954,-672,133,456,-872
494,494,0,1728,364,-2380,3356,-3140,1700,436,-2356,-872,954,-673,134,456,-872,954,-672
495,495,0,3312,-3184,1636,468,-2392,3348,-3132,1712,-673,134,456,-872,954,-673,134,456
496,496,0,360,-2300,3284,-3156,1652,332,-2268,3300,455,-871,954,-673,134,456,-872,954
497,497,0,-3100,1688,376,-2396,3296,-3136,1648,396,955,-673,135,455,-871,955,-673,134
498,498,0,-2344,3340,-3132,1724,316,-2324,3300,-3172,135,455,-871,955,-673,135,455,-871
499,499,0,1712,372,-2364,3348,-3128,1708,380,-2268,-871,955,-674,135,455,-871,955,-673
500,500,0,3304,-3144,1676,476,-2292,3372,-3172,1704,-674,136,455,-871,955,-674,135,455
501,501,0,432,-2356,3364,-3172,1704,364,-2324,3340,454,-871,955,-674,136,454,-871,955
502,502,0,-3140,1680,400,-2412,3296,-3080,1692,388,955,-674,136,454,-871,955,-674,136
503,503,0,-2296,3364,-3132,1644,380,-2300,3316,-3156,136,454,-871,955,-674,136,454,-871
504,504,0,1668,380,-2340,3372,-3136,1716,372,-2308,-870,955,-675,137,454,-870,955,-675
505,505,0,3280,-3160,1712,476,-2276,3320,-3140,1652,-675,137,453,-870,955,-675,137,453
506,506,0,412,-2332,3348,-3156,1696,468,-2372,3300,453,-870,955,-675,137,453,-870,955
507,507,0,-3156,1680,376,-2388,3324,-3112,1648,356,955,-675,138,453,-870,955,-675,137
508,508,0,-2372,3316,-3132,1676,364,-2316,3332,-3132,136,453,-870,955,-675,137,453,-870
509,509,0,1728,484,-2388,3332,-3096,1636,508,-2292,-870,955,-674,136,454,-871,955,-674
510,510,0,3304,-3148,1644,484,-2352,3364,-3172,1636,-674,137,454,-870,955,-674,136,454
511,511,0,452,-2324,3340,-3132,1704,372,-2268,3316,453,-870,955,-675,137,453,-870,955
512,512,1,-3152,1720,508,-2412,3272,-3156,1632,492,955,-675,137,453,-870,955,-675,137
513,513,0,-2388,3348,-3116,1700,484,-2388,3324,-3124,137,453,-870,955,-675,137,453,-870
514,514,0,1644,492,-2348,3364,-3156,1748,452,-2388,-870,955,-675,138,453,-870,955,-675
515,515,0,3336,-3148,1696,388,-2424,3328,-3116,1652,-675,138,452,-870,955,-675,138,452
516,516,0,468,-2300,3332,-3140,1636,476,-2364,3316,452,-870,955,-676,138,452,-870,955
517,517,0,-3140,1664,508,-2372,3296,-3164,1724,516,955,-677,139,452,-869,955,-676,138
518,518,0,-2364,3364,-3108,1708,364,-2284,3388,-3116,139,451,-869,955,-676,139,452,-869
519,519,0,1660,460,-2332,3372,-3160,1724,476,-2268,-869,956,-676,139,451,-869,955,-676
